moh_code,MRID
548014280,111306-9999-2706
548034666,230401-0122-6401
543011028,120301-0246-2701
541074526,560304-0141-2706
542014140,530204-9999-2701
540014253,480803-0130-6001
541034278,430502-0122-2708
542014280,530704-0141-2715
547014121,550404-0222-2707
547061626,100501-0222-2713
550013230,801201-0201-5406
541074522,570402-0122-0405
542014221,530302-9999-2701
550073910,350301-0130-5401
550013229,801201-0101-4001
549042466,681401-0222-6401
545021160,010101-0122-6404
549011230,760202-0122-6409
547011179,270103-0230-2713
550028530,801701-0201-5406
545064851,600105-0122-2706
545031588,681202-0230-2716
546081709,570101-0130-2713
545034640,681201-0130-2716
543021245,150401-0222-6401
548024411,170411-0137-2701
540051812,510201-0122-6401
545051800,660701-0122-6401
547014131,550403-0522-2716
545074930,670301-0130-2701
551081580,570119-0122-6401
547011009,410604-0122-6401
545031430,690202-0122-6401
545024069,650404-0222-6401
545031435,690202-0222-6401
545021230,190103-0422-2701
551064435,640208-0301-2701
550013325,800703-0101-5406
551081514,570114-0322-6406
551081511,570114-0422-6406
544021080,190902-0122-0407
550028520,801707-0201-5406
543011030,160702-0122-0407
540051810,510105-0122-6401
550013072,340901-0217-4001
544021070,190902-0322-6416
547011173,411001-0241-6401
548014285,110806-9999-5401
548011290,110805-9999-6401
544101749,260105-0122-6401
548012285,110504-9999-3501
540034622,710801-0130-2701
545046692,640302-0101-2601
543063183,140203-0122-4801
541014082,541803-0222-2714
548024312,120211-0122-6401
549016101,760103-0141-4801
548024480,860102-9999-2713
542024315,570103-0122-2706
544101751,260106-0122-6401
540024530,710702-0130-2701
548011121,110405-0101-2713
548024475,120204-0201-2713
547033270,430102-0341-6416
546081707,570203-0122-2713
545031365,680106-0530-1701
552022310,290305-9999-4001
545031367,680106-0330-1701
550073912,830214-0101-2701
548024400,120601-0501-2713
548034521,120601-0101-2713
543014075,830102-0330-2701
542014228,530302-0199-2713
540022520,280301-0130-3501
540052796,510211-0130-3501
548024470,120204-0201-2713
545031555,780502-0122-0401
542014240,531401-9999-2701
544101750,260108-0122-6401
550013501,700301-0146-2713
549016100,760102-0141-2601
548024450,120501-0201-2713
548034523,120601-0101-2713
550053590,070104-0109-2801
547061625,100502-0130-2713
543011027,120301-0122-6401
542034420,520205-9999-5401
545031402,690102-0122-6411
548011004,110406-0130-3501
548034522,120601-0101-2713
546031234,020503-0130-3501
543064006,170701-9999-4801
550014461,801802-0401-2713
542014029,531101-0141-2713
540051779,510211-0122-6401
541054410,543901-0122-2706
543014020,160405-0130-2713
544074535,060406-0201-5401
541014084,541803-0322-2706
548011157,110103-0109-6401
545046693,640301-0101-3501
547014123,550402-0122-2501
548024310,120209-0130-2713
551142650,060401-0107-5401
542014160,531901-9999-0401
547014136,550402-0222-2501
544094621,190706-0230-2713
541024124,543201-0530-2713
545051802,660701-0322-6411
546081730,540301-0222-6401
551081588,570110-0222-6401
541014059,570202-0130-2701
547034265,430101-0130-2713
541011121,542802-0122-2706
542014235,531401-9999-2701
548011200,110702-9999-6401
547033269,430102-0241-6416
545046696,640303-0101-2601
548011203,170804-0130-3501
547064608,100901-0115-2713
543063187,190401-0130-2701
547011024,380102-0222-6401
548011155,110103-0509-0401
540031543,710101-0130-2713
548022300,120207-0104-6201
547014002,410604-0222-2901
548024435,170801-0201-2713
541011020,541106-0122-6401
548034590,170303-0201-2713
541031274,550501-0130-2713
541014095,542801-0130-2714
545051700,660601-0322-6401
551054361,830401-0322-6416
547084810,470301-0141-2713
541014071,541002-0222-6401
544064385,640206-0301-2713
551084510,570501-0230-2714
546091750,090102-0199-0401
550063687,290501-0201-4001
544101741,260401-0130-3501
547011025,380102-0122-6401
546061500,060104-0122-6401
551074480,830210-0130-2713
543063182,140201-0122-2706
546081698,570309-0130-2714
541014099,540723-0130-2706
544101799,200102-0222-6401
546061433,700201-0122-6401
544051209,240602-0330-3501
544101734,260102-0322-6401
543064002,130205-0130-2713
548024417,120601-0101-2713
546081705,570205-0122-2706
546061434,700201-0222-6401
550054358,780203-0130-3501
541014193,541101-0222-2706
542024320,520103-0115-2713
549016110,760102-0230-5401
547064598,100704-0115-2713
547064599,100903-0115-2713
541054420,541106-0222-2706
540051774,510211-0222-6401
541014076,540303-0322-6401
544064388,640206-0401-2713
542014028,531101-0141-2713
547014130,410106-0109-2710
545031636,690504-0122-6401
544014040,190402-0130-2713
545064894,420403-0222-6401
545021050,650402-0130-5401
550063681,290501-0101-0901
544104730,200501-0130-2713
541014077,540303-0222-6401
547014114,410304-0141-6401
550013324,800701-0130-5406
543054303,150305-0309-2706
541014079,540303-0122-6401
543021241,140301-0122-6401
551054369,830401-0422-6401
545021054,650403-0322-6409
540031541,710101-0230-2713
548011152,110103-0609-0401
540014220,480704-0122-2706
551054358,520201-9999-2701
541024132,542003-0222-2706
542014260,532001-0109-2707
545051792,660105-0122-6401
550063691,280104-0229-4001
551054366,830401-0222-6416
545022207,890101-0230-6001
551054362,830401-0122-6416
552033400,060102-9999-5401
546034232,020503-0230-2701
543054302,150305-0109-2706
546021137,030501-0222-0407
547011178,270103-0130-2713
541074521,570120-0122-6401
550014460,801802-0430-2701
550061605,370105-0122-6401
548024440,170601-9999-2713
545064899,420405-0222-6401
541011102,540722-0130-2714
547011020,411202-0222-2801
551064440,640205-0248-2701
545031630,681501-0122-0401
551031246,420404-0130-6201
541044305,542402-0130-2714
549012240,760202-0130-6201
540051682,030601-0130-2713
541054417,542601-0130-2714
549066412,070301-0330-6001
540014431,280103-0122-6401
544014010,190501-0130-2713
546012001,020102-0130-3501
543063186,140206-0109-4801
547011176,620202-0130-2713
545031543,680404-0230-2716
550013452,801015-0101-5406
547064592,100702-0115-2713
540014425,330101-0130-2713
549042467,681401-0130-3501
540052778,510402-0222-6401
544094612,190704-0231-5401
542014255,531601-0102-6001
547061603,100204-0322-6401
551054350,830204-0130-2713
540021496,280101-0101-5401
542024340,840501-0239-2701
546081726,570305-0130-2713
543021213,150401-0122-6401
550038561,800302-0101-5406
546081700,070902-0122-6404
551031242,420406-0222-6401
545031642,690504-0122-6401
547024203,430603-0230-2713
550013400,030101-0101-5406
543024216,140502-0222-2713
550063688,290501-0401-4001
550013428,800404-0101-5406
548034591,170303-0201-2713
551054355,770101-0130-2713
544101733,260102-0222-6401
551052374,830209-0130-2713
548034610,170303-0601-5401
550014468,580403-0101-2701
551111593,670203-0141-6401
541024116,543201-0530-2713
550013341,801008-9999-3101
550013051,330103-0101-5406
545044659,640402-0130-2713
543024218,140602-0130-2713
541014045,541104-0422-2701
541011085,541402-0322-6401
547011177,620202-0230-2713
550063752,320202-0141-0601
546081710,570121-0122-6401
540051769,520105-0122-2706
543021239,140112-0222-6401
545051795,660105-0422-6401
544051208,240104-0130-2701
545064841,600102-0130-2713
550064740,740406-0201-4001
547064593,100701-0115-2713
545054760,660502-0230-2713
545051793,660105-0222-6401
540045745,070104-0109-0901
543034240,830213-0101-2713
545021052,650403-0222-6409
545034570,681301-0130-2713
551074468,830206-0130-2713
544094617,190709-0130-2713
540051817,510604-0222-6401
545031553,310202-0130-6201
540041671,500501-0130-3501
550054356,830501-0101-2701
543074510,170201-0101-2713
548024449,120601-1401-2713
545031545,680404-0622-2716
545021057,650402-0122-6401
540011329,481108-0122-6401
547014051,411201-0130-2701
547061640,101001-0122-6401
547014050,400101-0130-2713
543021237,140301-0222-6401
543044260,140204-0209-4801
546081712,570310-0230-2713
540031555,711002-0122-6401
540022417,480807-0104-2706
550013410,030101-0201-4001
545051796,660105-0322-6401
540014426,481401-0209-2706
544051173,240101-0222-6401
544121911,270601-0222-6401
550013402,030101-0201-5406
545021056,650402-0422-6409
540014395,481801-0130-2713
541024115,543201-0530-2713
541024142,541003-0130-2713
541014070,541002-0122-6401
551063410,640206-0401-0601
550063686,290501-0101-4001
541074533,560101-0322-2701
547081812,620105-0230-2713
545031548,680404-0330-2716
544051210,240602-0130-2713
544031112,250201-0222-6409
550038566,480301-0230-5406
541031201,410606-0122-6401
545021245,580501-0122-6401
545021053,650402-0222-6401
547014132,550403-0122-2706
544072495,210302-0230-3501
545021125,690401-0130-2713
546054420,030202-0130-2713
547024208,550101-0122-6401
544074485,210302-0130-2713
540024508,280204-0130-2713
545024061,650404-0122-6409
544121902,270305-0222-6401
545034555,310202-0330-2713
548024446,170601-9999-2713
540014420,330101-0230-2713
545051829,660108-0122-6401
545051789,660111-0222-6401
545051710,660601-0522-6401
547061616,100202-0120-6401
550013071,801703-0117-6003
547014146,410102-0115-2706
540021495,280108-0101-0901
550063674,380106-0101-5401
547011101,410201-0122-6401
541011091,541709-0122-6401
549016040,761001-0141-5401
543011020,560203-0130-2713
543011029,170421-0130-2701
547014145,410102-0215-2706
540014380,481201-0130-2713
541064510,540411-0109-4801
545031556,780502-0222-2706
545021059,650402-0230-2701
544021076,190106-0122-6409
543054391,130305-0122-4801
544041152,140105-0130-2713
541044318,540412-0130-2713
551064415,640206-0301-2713
547064606,100904-0215-2713
551230385,770302-9999-3501
544111820,830301-0101-4804
545021022,700502-0222-6416
550014370,800101-0222-2706
550013150,802101-0101-5406
545051819,660104-0222-6401
540014268,481703-0104-2706
545030451,681102-0222-6401
541031277,550204-0122-6401
551081502,570112-0222-6401
543064007,130308-0130-4803
545051790,660111-0122-6401
540051811,510601-0122-6401
544011001,190501-0322-6401
548011001,110901-0109-0401
549042460,780401-0230-6201
547061601,100204-0122-6401
547081825,540102-0122-0401
547061648,101001-0422-6409
545021105,650305-0430-5401
545021058,650402-0322-6401
546081719,570310-0130-5401
544121906,270301-0222-6401
551230717,280107-0246-2701
541014064,770106-0130-2713
545031353,680803-0222-6401
547011093,370101-0101-0601
547015196,410302-0141-2801
540014371,481503-0122-6401
540014199,480204-0104-4803
545071956,670101-0122-0401
545044658,640405-0201-2704
551031238,690601-0122-6401
540041715,500701-0122-6401
545032630,030301-0146-2713
547014185,400301-0130-2713
540041700,500302-0122-6401
541044330,542401-0122-2701
544071455,210401-0130-3501
545031354,680803-0322-6401
551064427,640206-0401-2713
545021023,700502-0322-6416
548034550,170303-0101-2713
552011002,290101-9999-3601
540052699,510106-0222-6401
543054320,150302-0109-2706
548034547,170303-0101-2713
540021482,280108-0122-6401
550054371,160102-0104-4801
540031577,710201-0122-6401
551081512,570114-0222-6401
540044672,500501-0230-2713
540014360,481505-0104-2706
550013418,801101-0101-5406
543074501,170209-0101-2713
551054364,830402-0122-6401
550013342,800603-0230-5406
544014008,190501-0146-2713
540011110,481301-0122-2706
540074900,481901-0130-2701
547084803,470201-0222-6401
540011375,801001-0101-0601
551064451,640202-0201-2713
543054326,150305-0209-2706
551081849,540703-0146-2706
548034583,170303-0201-2713
549016048,760607-0241-4801
544011005,190501-0222-6401
549016047,760607-0141-4801
551094550,350103-0130-2701
542014150,530402-0134-2715
545031356,680803-0422-6401
551081583,570110-0122-6401
550038560,800405-0101-5406
547054380,440201-0141-6401
540011331,481108-0422-6401
551081510,570114-0122-0401
544101725,200501-0122-6401
540032640,481901-0230-6001
545034510,680701-0130-2713
547011006,410302-0143-4301
540052793,510103-0104-4803
546061520,060601-0104-2301
545021008,700705-0322-6401
541074523,570402-0222-0401
540011095,481301-0222-2706
543011039,560105-0130-2713
545031632,690502-0122-6401
540011232,480604-0422-6401
547011004,410912-0141-6401
544051253,240603-0122-6401
541011055,540419-0122-6401
544094610,190703-0130-2714
540031546,710103-0222-4801
548014110,111101-0130-2713
549014250,760201-0230-2701
550013060,330203-0101-4001
548034600,170303-0601-5401
549042465,681401-0122-6401
547064655,460101-0122-2706
540051708,511001-0222-6401
543054306,150305-0309-2706
545021020,650201-0622-2713
544051207,240104-0222-6401
542014203,531004-9999-4801
541011057,540419-0422-6401
548024408,120601-0401-2713
550063735,280209-0101-0901
550014507,802201-0146-5406
550064739,440108-0130-2713
548024445,170601-9999-2713
546031440,040203-0230-5401
545031470,690205-0122-6401
540051789,510103-0122-0407
551054371,830401-0255-6401
545021062,700501-0122-6401
543024214,140502-0422-2713
540011357,480305-0122-6401
546081711,570310-0230-2713
545021025,700502-0122-6416
541011060,541104-0122-6401
540014172,480202-0104-2713
545051828,660108-0322-6401
551031190,020101-0122-0401
540051777,510107-0222-6401
545051836,690101-0122-6401
540012050,480503-0130-3501
544101796,200103-0122-6401
547031280,400502-0141-6401
548024412,120601-0101-2713
541014069,542405-0130-2714
545064870,680106-0130-2713
545021352,680107-0230-2713
541014080,541802-0230-2714
545051750,660502-0122-0401
540031560,710403-0222-6401
551081850,540704-0122-2706
543044254,150202-0130-2713
543024212,140502-0122-2713
542014227,530601-0134-2713
544121900,270305-0122-6401
550013417,801101-0201-5406
543034244,140401-0230-2713
540021479,490303-0222-6401
540024496,010201-0222-2706
545021066,690302-0322-6401
549021288,542001-0130-2713
542014250,531502-0109-2707
548034650,170307-0101-2713
546024130,030402-0230-2713
548034552,170303-0101-2713
544051171,240101-0322-6401
545051715,660601-0422-6401
549072615,700103-0222-6201
547084802,470201-0122-6401
545031527,680405-0622-2708
543064004,170103-0101-3501
545021021,650201-0722-2713
540014020,480501-0122-4801
543024217,140502-0322-2713
547014090,411601-0130-2713
549012020,761001-0130-6201
545052755,660502-0130-6001
545021009,700705-0222-6401
549032360,770103-0130-6201
543054301,150305-0109-2706
550063727,340402-0101-0901
547014120,430401-0141-2706
549072700,780506-0130-5401
541011103,540722-0130-2714
551081561,570302-0122-2706
549012030,761001-0330-5401
543014128,160202-0609-2713
547054350,430801-0130-2713
544034130,250401-0130-2713
548024409,120601-0801-2713
540031630,481901-0222-6401
540051888,510801-0130-2713
545064898,420405-0122-6401
542014270,530704-0241-2715
547071724,450202-0241-6401
543054333,150402-0230-2713
550013160,510301-0129-4001
540023504,280209-0101-0901
543054330,150402-0130-2713
544101745,260405-0122-6401
548034660,170416-9999-2701
544094650,190708-0130-2713
541061525,540413-0130-5401
547033260,430102-0130-5601
548034546,170303-0101-2713
545051783,660702-0122-6401
551031239,690601-0222-6401
545031631,690501-0122-6401
545024063,650404-0322-6409
544101731,260402-0130-2713
547064590,100703-0115-2715
550013457,801007-0122-5406
544064415,190301-0130-2713
545021019,650201-0522-2713
545031401,690107-0122-6401
547014147,410105-0109-2701
540011302,481601-0222-6401
546041300,030702-0422-6402
550013014,230103-0101-5406
551104570,190201-0130-2713
543054315,150304-0122-2706
540014390,481801-0230-2713
546031238,020404-0322-2706
546014616,020303-0122-6401
545064891,030101-0130-2713
549066430,760303-0141-2601
550063684,290501-0201-0901
547051402,440104-0130-2713
545024060,651101-0130-2713
546031235,020404-0122-0401
540014195,480103-0104-2706
545051716,660601-0230-3501
545021024,700502-0422-6416
540031625,481901-0122-6401
548024413,120601-0101-2713
544121907,270304-0422-6401
550063743,320201-0144-4001
545031420,690201-0322-6401
543054316,150304-0222-2706
544101798,200102-0122-6401
545031377,680105-0230-6001
541011082,540202-0122-6401
547081826,540102-0222-0401
546065560,060409-0130-1701
540012160,480101-0230-4804
545021244,890101-0130-5401
550013344,800603-0130-5406
546031435,040203-0122-6401
544121926,270106-0322-6401
545031587,681202-0430-2713
551054390,830215-0104-2713
540031521,710103-0322-6401
540051763,510307-0122-6401
547014053,410702-0122-6401
548021455,120501-0122-6401
545031525,680405-0822-2708
545021203,890101-0330-2713
543054346,150302-0309-2706
540074850,482301-0330-2713
543021231,540404-0141-0401
546081725,570306-0130-2701
545044672,640401-0122-5601
541014091,540720-0130-2713
545024089,651401-0130-2713
548034620,170303-0401-2713
545023267,580201-0101-0601
550013456,801002-0201-5406
545064892,030101-0246-2713
540011231,480604-0322-6401
544051205,240602-0222-6401
544101752,260703-0222-6401
543054317,150304-0322-2706
550013330,700801-0101-5406
545031635,690105-0222-6401
545054595,660301-0230-5406
550063711,330301-0101-0901
545052780,660401-0130-3501
542024301,520301-0101-2713
540032580,720102-0101-6001
544101735,140109-0246-5401
550013429,910101-0101-5406
541011066,540405-0130-2713
540014379,481503-0230-4804
543024205,140503-0515-2713
541011030,541104-0222-2706
545031547,780305-0122-6401
543014150,150601-0122-2713
542014230,531001-0102-2713
540023503,280209-0101-0601
547084800,470101-0215-2713
547054405,440104-0122-2706
543054310,150305-0309-2706
550013419,801101-0101-5406
545064840,600101-0130-5401
550013455,801007-0122-5406
550013319,800701-0230-5406
547014140,410106-0209-2706
547081813,620105-0130-2714
544021093,190104-0122-6401
545031625,690109-0122-6401
547064602,100805-0115-2715
540021494,280209-0101-4801
544064390,640207-0101-2713
541044342,542403-0130-2713
546105810,230703-0122-5901
549021278,760801-0322-6401
540014430,280103-0130-5401
545031550,310202-0122-6401
543014025,160301-0130-2713
550063730,280209-0101-0901
550013321,380101-0201-5406
540014176,480201-0530-4804
543011044,560201-0246-2713
547014110,410108-0109-2706
541064518,541603-0230-2713
547014180,400302-0130-2714
550063611,370105-0101-0901
547061607,100602-0222-6409
544094640,760701-0146-2713
547064607,100904-0115-2713
544101790,240502-0130-2713
541011073,541712-0122-6401
541014040,541104-0322-2706
541044301,542402-0130-2714
547015190,400302-0422-2801
551111592,400202-0122-6401
542014266,530805-0238-2706
543054308,150302-0209-2706
550013323,800704-0146-5406
545021064,690302-0222-6409
543014127,160203-0909-2713
550063620,370301-0201-0601
540012210,480702-0130-6001
551054353,520201-0209-2706
548024423,170801-0301-2713
542014130,530401-0134-2715
541054419,800802-0130-2713
549014050,761001-0146-2713
550013409,580203-0201-5406
541064517,541603-0230-2714
547061602,100602-0122-6409
544054214,240103-0130-2713
551031230,700401-0122-6401
545031529,680405-0722-2708
541011099,541708-0122-6401
548011129,110404-0230-2701
540051815,510202-0122-6401
548024410,120601-0101-2713
550038565,330107-0101-4001
544031125,250401-0222-6401
550063613,370105-0301-0901
547071715,450201-0146-2713
550073955,130306-0130-3501
540011324,481108-0130-2701
545034625,680108-0230-2713
546024135,030402-0130-3501
546081703,070901-0222-6409
550063748,340103-0201-0901
550063717,280104-0130-3601
546012004,370201-0101-5401
546014617,060404-0130-3501
550013010,801401-0101-5406
540014197,480204-0204-4803
544024051,190901-0130-2713
540012248,480604-0230-2305
551054360,830403-0122-2706
543021233,140104-0122-6401
549016056,760606-0641-4801
541011093,140601-0130-5402
546021091,070701-0130-6001
540052777,510111-0130-6001
541044310,542402-0130-2714
540034625,710603-0122-4801
545024055,651101-0130-2713
541024130,541005-0130-2713
543011042,560201-0146-2713
541024143,542002-0130-2713
543054336,150302-0209-2706
545054730,660601-0330-2713
551081590,380304-0101-4001
544064360,190602-0130-2713
543054309,150302-0109-2706
540051803,510501-0222-6401
551054372,830401-0622-6401
544031120,250401-0122-6401
544021055,190901-0322-6418
546081717,570107-0322-2706
550013315,800603-0230-5406
546031232,020501-0130-3501
546081699,570309-0130-2714
542014276,530702-0103-2715
545031410,690201-0222-6401
545031523,780301-0122-6401
544051203,240102-0122-6401
544101753,260703-0322-6401
541074520,570111-0122-0401
544094620,190706-0130-2713
545031400,690201-0122-6401
550013440,800403-0101-5406
546051400,030202-0122-6401
540051760,510109-0122-6401
540034620,710802-0130-2713
550014166,800607-0130-5406
544094622,760901-0130-5401
545031627,680101-0141-6401
545031380,680802-0222-4801
549016050,760606-0241-6001
545021018,650201-0422-2713
541011199,541708-0222-6401
547084806,470203-0141-0401
551066400,640206-0101-5601
546063530,060201-0230-6201
549062570,780213-0122-6401
545021065,690302-0122-6409
544061400,191001-0122-0401
545021015,650201-0222-2713
551154740,870302-0430-2713
550063740,070104-0109-4001
547064580,100703-0115-2713
545051827,660108-0622-6401
544121904,270304-0222-6401
545032625,600301-0109-2706
541034277,430502-0146-2713
544031110,250201-0422-6401
545021051,650403-0130-3501
545071926,690701-0122-6401
548024455,170409-0137-2701
544031102,250104-0322-6409
545021091,651401-0122-0401
540031523,711001-0122-6401
551031244,420102-0122-6409
549016053,760604-0141-6001
549066415,070301-0141-2601
543064009,130307-0101-2713
548024467,060409-0130-1701
542014277,530702-0115-2715
547084807,470203-0241-0401
540014001,480502-0122-4801
540014245,480604-0222-2706
551081848,540722-0330-2714
541011101,540702-0130-2713
550013427,801102-0101-5406
543054332,150402-0230-2713
540011301,481603-0122-2706
551066405,640206-0201-4001
548024482,860102-9999-2713
541044340,541301-0109-4801
547011007,410302-0243-4301
547014004,410906-0141-6401
543014101,160101-0130-2713
545044650,640501-0122-4801
549072703,780505-0130-6201
540042665,500104-0130-3501
549016045,760606-0541-4801
543054331,150402-0230-2713
544094624,190706-0130-2713
541011035,541501-0130-2713
550013432,910101-0201-5406
544101754,260703-0122-6401
551064444,640214-0130-2713
550014330,800201-0122-4801
549021280,760403-0122-2706
545031546,680404-0230-2716
543014130,160203-0141-2713
551063412,640209-0101-0901
550063718,290201-0101-5401
545021248,580501-0122-2706
540022460,070104-0115-6001
546031233,020501-0230-2713
542014219,530201-9999-2713
550013355,570108-0130-2713
545031358,690108-0222-0407
543014132,160203-0146-2713
540012175,480201-0230-4804
540051766,510213-0222-6401
541011090,540723-0122-2706
550014503,120601-0601-4001
541024140,541003-0230-2713
546054382,040203-0130-2713
542034410,520203-0134-2713
549021275,760801-0222-6402
547061611,100303-0122-6401
541011025,541902-0122-0401
540021508,500304-0122-6401
550073920,350301-0201-0901
547011090,410802-0122-6404
546081720,570116-0130-2714
548034562,170413-0701-2713
540014262,481703-0122-2706
546081715,570107-0122-2706
549016052,760604-0341-6001
549016044,760606-0341-6001
541031202,410606-0222-6401
551074470,830210-0146-2713
540031542,710402-0122-6401
543074505,170201-0201-5401
540014003,481304-0104-4801
545031349,680803-0422-6409
545031345,680803-0322-6409
540044660,500104-0322-4801
552010091,230704-0201-0901
550063777,290305-0105-4001
545031641,690108-0122-0407
551054365,190501-0122-4801
543064005,170103-0101-2701
544121920,270301-0322-6401
550063726,340503-0101-0901
552010090,230704-0129-0901
547052515,440103-0146-3501
545021011,650201-0145-4301
541074538,560307-0341-2706
551031187,020101-0130-3501
544094600,190701-0130-2713
551124600,180401-0115-4801
546081708,570309-0130-2714
545051825,660106-0122-6402
540054760,510301-0122-2706
541034281,430103-0122-2713
540051808,510504-0122-6401
541014085,541801-0130-2714
540062810,482001-0130-3501
545031542,680404-0122-6409
550063721,330105-0101-0901
546053430,030202-0122-5901
545021016,650201-0322-2713
540051762,510301-0230-6001
549021281,570115-0130-5402
547061618,100303-0222-6401
550063621,370301-0101-0601
550063675,380106-0201-5401
548034500,170301-0101-5401
550014335,330105-0201-0601
540051813,510204-0122-6401
545034615,681002-0230-2713
545031549,310202-0222-6401
545024064,640102-0146-2713
545031505,680701-0222-6401
552033530,730101-0101-3601
550014169,800604-0130-5406
550014337,480303-0101-4001
543064003,690106-0122-6401
544121901,270301-0122-6401
547054480,440103-0130-2713
550048570,010202-0130-3801
550014170,800609-0130-5406
549066409,760603-0141-2601
544041150,140113-0130-2714
548011131,110404-0330-2701
546103800,230703-0101-4001
550063682,290501-0101-0901
544101703,200201-0241-6401
547014005,410601-0141-6401
546021135,030501-0122-6401
543084601,170204-0101-2713
544104770,200801-0130-2713
545071925,670301-0222-6401
547081804,110102-0141-0401
544031107,250104-0422-6409
551051395,830211-0130-2701
545031544,680404-0222-6409
540031570,711102-0122-6401
541044350,543202-0122-2706
544101718,700202-0122-0401
540011333,481110-0130-5401
545052815,660201-0230-6001
542034430,520202-0109-2701
550013015,801402-0101-5406
540022470,490302-0122-6406
551081550,570502-0122-0401
545064850,600701-0130-2713
541014073,542201-0222-2706
547064601,100805-0215-2715
540011381,481201-0222-4803
545054725,660601-0130-2713
545064839,600104-0130-2713
548012050,110103-0715-5406
542014030,531302-0130-2713
544094623,190706-0130-2713
547064609,100905-0152-2713
545021315,830106-0222-2706
544101765,260405-0222-6401
542024350,520106-0115-2713
551054351,830207-0107-5401
545021261,780207-0230-5406
544051201,240602-0122-6401
550063715,330303-0101-0901
545051787,660301-0122-6401
547064591,100804-0115-2715
550063670,330501-0101-0901
547064605,100801-0115-2713
549014255,780502-0230-2713
544071470,210303-0122-6409
544061410,190301-0122-6401
551031192,830303-0122-6401
549066474,070301-0241-5603
550014366,481101-0101-5406
540014135,480102-0122-2706
548034582,170413-0501-2713
547071702,450201-0341-6401
541024125,543201-0230-2713
545064880,600501-0122-4801
551064430,640208-0230-2713
546031236,020404-0222-6404
548034585,170413-1201-2713
548024419,170415-0130-2714
540014377,481503-0130-5401
545051813,660201-0122-6409
549016046,760606-0141-6001
550013320,700801-0101-5406
540031537,710202-0122-6401
541014093,540724-0122-2706
549016051,760604-0241-6001
548034572,170413-1601-2713
550063738,340202-0401-3601
545044671,640403-0230-2713
546012000,050104-0222-6401
550063696,541005-0130-2713
541044337,542404-0122-2701
549041400,780301-0130-6201
546065548,060301-0104-5901
543074503,170208-0101-2701
549031350,770103-0122-6401
550013210,801204-0301-5406
548034510,170301-0201-2713
548034596,170413-1301-2713
545051814,660201-0322-6409
