NUPCO Code,MRID
51151710003,910101-0201-5406
51151710000,910101-0101-5406
51151710001,910101-0101-5406
51142106003,890101-0330-2713
51142106005,890101-0322-6410
51142106004,890101-0230-6001
51142106001,890101-0222-6401
51179000009,890101-0130-5401
51142106006,890101-0122-6401
51211623000,880201-0122-0401
51212500001,870302-0430-2713
51212503009,870302-0430-2713
51441512000,870203-0137-2713
51191605003,860102-9999-3001
51191605001,860102-9999-2713
51191605002,860102-9999-2713
51473504002,860102-0534-2713
51191605004,860102-0534-2713
50161512100,860101-9999-6201
51191902016,850101-0122-4801
51441606000,840102-0122-6401
51211601000,830403-0122-2706
51172321001,830402-0130-5401
51172321000,830402-0122-6410
51211699003,830401-0622-6410
51211699004,830401-0522-6410
51211699005,830401-0422-6410
51211699002,830401-0322-6416
51211699001,830401-0222-6416
51211699000,830401-0122-6416
51211610000,830304-0101-4804
51171926000,830303-0122-6410
51171926001,830303-0104-4804
51211610001,830301-0101-4804
51142999001,830216-0130-2713
51101836003,830215-0104-2713
51211609001,830213-0101-2713
51121610001,830212-0104-4801
51142302000,830210-0146-2713
51142302001,830210-0130-2713
51211615001,830209-0130-2713
51111713017,830208-0130-2713
51172313000,830207-0107-5401
51401525000,830206-0130-2713
51211604001,830204-0130-2713
51192014001,830106-0222-2706
51192014000,830106-0122-2706
51112102000,830105-0122-2701
51211617002,830102-0230-2713
51211617004,830102-0222-2713
51211617000,830102-0222-2713
51211619001,830102-0222-2713
51211617003,830102-0130-2713
51211617001,830102-0122-6401
51192601000,830101-0122-2713
51101518003,810201-0122-5406
51212399000,802201-0146-5406
51102402001,801810-0101-5406
51142148003,801802-0430-2713
51142148006,801802-0430-2701
51142148002,801802-0430-2701
51142148004,801802-0301-5406
51102500004,801706-0122-5406
51102500009,801704-0101-5406
51102500003,801703-0117-6003
51101584003,801601-0101-5406
51101584001,801601-0101-4001
51281626005,801503-0101-6003
51181704002,801503-0101-4001
51212550001,801501-0101-5406
51142908015,801402-0101-5406
51212303000,801401-0130-2713
51212303002,801401-0101-5406
51422206005,801207-0141-2501
51181708003,801204-0301-5406
51181708002,801204-0101-6003
51181736000,801202-0101-6003
51181704008,801201-0141-2501
51181704009,801201-0101-5406
51151606000,801102-0101-5406
51151606001,801102-0101-5406
51151605001,801101-0201-5406
51151605002,801101-0101-5406
51151605000,801101-0101-5406
51191602000,801015-0101-5406
51191602009,801015-0101-5406
51191602007,801014-0201-5406
51191602066,801014-0101-5406
51191999903,801012-0101-5406
51172319004,801010-0130-5406
51241299003,801008-9999-3101
51131905000,801007-0122-5406
51191999900,801004-0101-5406
50161512101,801003-0134-5401
51191999901,801002-0201-5406
51171631006,801002-0101-5406
51241299005,801001-0101-0601
51142198000,800903-0101-6003
51142104002,800902-0101-5406
51382401000,800901-0101-5406
51111753000,800802-0130-2713
51241116000,800704-0146-5406
51241199000,800703-0141-5406
51241110001,800702-0130-5406
51241103002,800701-0130-5406
51241115003,800609-0130-5406
51241110002,800608-0130-5406
51241119900,800607-0130-5406
51241119901,800607-0130-5406
51241115002,800606-0130-6003
51151702000,800605-0130-5406
51241103003,800604-0130-5406
51241115001,800603-0230-5406
51241115000,800603-0130-5406
51151814001,800601-0101-5406
51392202000,800501-0130-5406
51161903001,800405-0201-5406
51161903000,800405-0101-5406
51151724000,800404-0101-5406
51151724001,800403-0101-5406
51313205001,800305-0130-6003
51161511001,800302-0101-5406
51161699001,800301-0130-5406
51241101000,800201-0122-4801
51241107000,800104-0101-5406
51241104000,800102-0101-5406
51141501001,800101-0222-6401
51141501002,800101-0122-6401
51181400001,790301-0222-2301
51181400000,790301-0122-6401
51142945000,790201-0130-2713
51161710000,790103-0130-6001
51161702001,790101-0130-2713
51161890004,780507-0130-6201
51161890001,780506-0130-5401
51161620000,780502-0230-2713
51161890009,780502-0130-6201
51171820000,780501-0122-6401
51161630000,780401-0230-6201
51161630002,780401-0130-2713
51161630003,780401-0122-6401
51161614000,780305-0122-6401
51313106000,780303-0122-6410
51161615001,780301-0130-6201
51161615000,780301-0122-6410
51179000002,780301-0122-6410
51161609001,780213-0130-6201
51161606000,780208-0130-6201
51161606001,780208-0122-6401
51313704001,780207-0230-5406
51313704002,780207-0130-6201
51161621000,780206-0222-6410
51312203000,780204-0130-6201
51312203001,780204-0122-6410
51312202001,780203-0122-6401
51181607003,770303-0122-6401
51212003000,770302-9999-3501
51161890006,770301-0130-6201
51161808000,770202-0130-3501
51142202000,770201-0122-6401
51172324000,770106-0130-2713
51172324001,770106-0122-6410
51161708000,770105-0130-5401
51161811001,770103-0130-6201
51161811000,770103-0122-6401
51161701001,770101-0222-6408
51161701002,770101-0130-2713
51161508001,761001-0330-5401
51161508003,761001-0230-5401
51161508004,761001-0146-2713
51151701000,761001-0130-6201
51161508006,761001-0122-6401
51151703000,760901-0130-5401
51161515004,760801-0322-6410
51161515003,760801-0222-6402
51161515002,760801-0122-6402
51161515001,760801-0122-2301
51151706000,760701-0146-2713
51151720005,760606-0641-4801
51181722003,760606-0541-4801
51151720004,760606-0441-4801
51151720001,760606-0341-6001
51151720003,760606-0241-6001
51161508000,760606-0241-2601
51151720002,760606-0141-6001
51181722010,760604-0341-6001
51181722012,760604-0241-6001
51181722011,760604-0141-6001
51161599002,760603-0341-2601
51161599001,760603-0141-2601
51421501000,760507-0141-4801
51161524002,760505-0141-5401
51201557000,760403-0122-2706
51111713007,760402-0130-2713
51161500000,760401-0130-2713
51181722002,760303-0341-2601
51181722004,760303-0241-2601
51181722001,760303-0141-2601
51422302001,760302-0141-2601
51161505002,760202-0122-6409
51161505001,760202-0122-6401
51161504000,760201-0130-2713
51161524000,760103-0141-4801
51161705002,760102-0246-5401
51161705001,760102-0230-5401
51102707006,750401-9999-6401
51102713009,750102-0101-3801
51181709002,740406-0201-4001
51181722005,740405-0141-5603
51181722000,740403-0101-5601
51161606003,740303-0130-6201
51161606002,740303-0122-6401
51161699006,740104-0201-5406
51161699007,740104-0101-5406
51313205000,740103-0130-5603
51241298002,730202-0101-5201
51101715001,730201-0201-0901
51101715000,730201-0101-0901
51241222003,730102-0101-5201
51101705000,720501-0122-6401
51101702001,720102-0122-6401
51101702000,720102-0101-6001
51101701000,720101-0222-6401
51101701001,720101-0122-6401
51101907001,711102-0122-6401
51101907000,711101-0122-6401
51102901000,711002-0122-6410
51101906000,711001-0122-6401
51105004002,710802-0130-2713
51101904001,710702-0122-6401
51101904000,710702-0122-6401
51101902000,710701-0122-6401
51101613000,710603-0122-4801
51101903000,710403-0122-6401
51101912000,710402-0122-6401
51101905001,710401-0230-6201
51101905002,710401-0222-6401
51453502002,710302-0130-6001
51101914002,710202-0222-6401
51101914001,710202-0122-6401
51101999000,710201-0122-6401
51101914000,710103-0322-5901
51101914003,710103-0222-4801
51101914007,710103-0122-5901
51101908001,710101-0230-2713
51101908000,710101-0130-2713
51241114003,700801-0122-6401
51241114001,700801-0101-5406
51241114000,700801-0101-5406
51143203000,700702-0322-6410
51143203001,700702-0222-6410
51212202000,700701-0422-6401
51212202002,700701-0328-4301
51212202001,700701-0228-4301
51212202003,700701-0128-4301
51142206021,700501-0222-6401
51142206000,700501-0122-6401
51151514003,700403-0222-6401
51151514000,700403-0122-6401
51151512001,700402-0230-2713
51151512002,700402-0130-2713
51241105000,700301-0146-2713
51422205000,700203-0122-0401
51171807000,700202-0222-6401
51161608002,700201-0322-6401
51161608001,700201-0222-6401
51161608000,700201-0122-6401
51333704001,700108-0122-6401
51141570000,700106-0122-6401
51143009000,700105-0122-6409
51384610000,700104-0122-2701
51143004000,700101-0122-6401
51331705003,691001-0222-0401
51331705002,691001-0122-6410
51331705000,691001-0107-6201
51141541000,690701-0122-6401
51151515004,690603-0322-0401
51151515001,690603-0228-4301
51151515003,690603-0222-0401
51151515000,690603-0128-4301
51151515002,690603-0122-0401
51151510000,690602-0222-6401
51151510001,690602-0122-6401
51141538001,690601-0222-6410
51141538000,690601-0122-6410
51292016001,690506-0322-6410
51292016000,690506-0222-6401
51292016002,690506-0122-6401
51141605002,690505-0622-6401
51141605001,690505-0522-6401
51141605000,690505-0122-6401
51141607001,690504-0222-6410
51141607000,690504-0122-6410
51141618001,690503-0130-3501
51141618000,690503-0122-0401
51141633001,690502-0222-6410
51141633000,690502-0122-6410
51292004000,690501-0122-6410
51142610001,690401-0230-2713
51142610000,690401-0130-2713
51331502001,690303-0222-6401
51331502000,690303-0122-6401
51142618000,690302-0322-6401
51142618001,690302-0222-6409
51142618002,690302-0122-6409
51121766004,690301-0522-0401
51121766003,690301-0422-0401
51121766002,690301-0322-0401
51121766001,690301-0222-0401
51121766000,690301-0122-0401
51141623001,690205-0222-6401
51141623000,690205-0122-6401
51141621002,690204-0322-6401
51141621001,690204-0222-6401
51141621000,690204-0122-6401
51141602001,690203-0222-6401
51141602000,690203-0122-6401
51141616003,690202-0322-6401
51141616000,690202-0222-6404
51141616002,690202-0122-6404
51141601001,690201-0222-6401
51141601000,690201-0222-6401
51141601002,690201-0122-6401
51294423000,690109-0122-6410
51141636001,690108-0222-0407
51141636002,690108-0122-0407
51294412000,690107-0122-6401
51141604000,690105-0222-6410
51141604001,690105-0122-6410
51141539001,690104-0222-0405
51141539000,690104-0122-0405
51141639000,690103-0122-6409
51293402001,690102-0222-6411
51293402000,690102-0122-6411
51141699001,690101-0122-6410
51333410001,681602-0122-0401
51331901000,681501-0122-0401
51161637001,681401-0222-0401
51161637000,681401-0130-3501
51141799001,681303-0222-6401
51141799003,681303-0122-6401
51171812003,681302-0130-2713
51171812001,681302-0122-6401
51332812001,681301-0130-2713
51141799004,681202-0430-2713
51141799002,681202-0230-2701
51141799000,681202-0122-6401
51141799005,681201-0130-2713
51362302000,681102-0222-6410
51141702007,681002-0422-6401
51141702000,681002-0330-2713
51141702008,681002-0322-6401
51141702006,681002-0230-2713
51141702003,681002-0222-6401
51141702002,681002-0141-6401
51141702004,681002-0130-5406
51141702001,681002-0122-6401
51141812000,680901-0146-2713
51141722009,680803-0622-6409
51141722007,680803-0522-6409
51141722006,680803-0422-6409
51141722003,680803-0422-6401
51141722005,680803-0322-6409
51141722002,680803-0322-6401
51141722001,680803-0222-6401
51141722004,680803-0122-6401
51141703002,680802-0222-6416
51141703005,680802-0222-6401
51141703004,680802-0222-4801
51141703000,680802-0122-6416
51141703006,680802-0122-6401
51141715001,680801-0222-6401
51141715002,680801-0122-6401
51141798001,680701-0222-6401
51141798000,680701-0130-2713
51141798002,680701-0122-6401
51361501000,680601-0230-6201
51141803000,680601-0130-6201
51402203000,680501-0122-6401
51141704006,680405-0822-2708
51141704003,680405-0722-2708
51141704002,680405-0622-2708
51141704004,680405-0522-6401
51141704001,680405-0322-6401
51141704009,680405-0222-6401
51141704005,680405-0130-5401
51332003008,680404-0722-2716
51332003007,680404-0622-2716
51332003005,680404-0222-6409
51332003004,680404-0122-6409
51141634001,680401-0422-6401
51141634002,680401-0322-6401
51141634003,680401-0222-6401
51294403001,680401-0122-2706
51332103000,680202-0322-6401
51332103001,680202-0122-0401
51141730002,680201-0422-6401
51141730001,680201-0322-6401
51141730000,680201-0222-6401
51141542007,680108-0430-2713
51141542008,680108-0330-3501
51141542001,680108-0230-2713
51141542012,680108-0230-2713
51141542011,680108-0130-5401
51141916000,680107-0230-2713
51141916002,680107-0222-6401
51141916004,680107-0130-2713
51141916001,680107-0122-6401
51141920000,680106-0430-1701
51141920001,680106-0330-1701
51141920002,680106-0230-3501
51141920005,680106-0222-6401
51141920003,680106-0130-2713
51141920004,680106-0122-6401
51401515001,680105-0230-6001
51401515000,680105-0122-6401
51171907001,680104-0122-6401
51401501001,680102-0222-6401
51401501002,680102-0122-6401
51141919000,680101-0222-6401
51141919001,680101-0141-6401
51151604001,670602-0122-6401
51151604000,670602-0122-6401
51151603001,670601-0130-2713
51151603000,670601-0122-6401
51142502004,670404-0122-6401
51143501003,670402-0422-6410
51143501001,670402-0322-6410
51143501000,670402-0222-6410
51143501002,670402-0122-6410
51142502006,670401-0322-0601
51142502003,670401-0222-6401
51142502002,670401-0222-6401
51142502001,670401-0122-6401
51151602003,670301-0122-6401
51151602001,670301-0122-6401
51151602000,670301-0122-6401
51142538002,670205-0428-4301
51142538003,670205-0328-4301
51142538001,670205-0228-4301
51142538000,670205-0128-4301
51142508002,670203-0622-6401
51142508008,670203-0522-6401
51142508001,670203-0222-6401
51102302000,670101-0122-6401
51141509000,660702-0122-6410
51141530006,660701-0330-5401
51141530001,660701-0322-6401
51141530007,660701-0322-6401
51141530005,660701-0222-4801
51141530002,660701-0130-3501
51141530003,660701-0122-6404
51141526000,660602-0222-6401
51141526001,660602-0122-6401
51141505009,660601-0422-6401
51141505007,660601-0330-2713
51141505000,660601-0322-6401
51141505001,660601-0230-3501
51141505005,660601-0222-6401
51141505008,660601-0130-2713
51141505004,660601-0122-6401
51141507005,660502-0330-5401
51141507001,660502-0230-2713
51141507003,660502-0222-0401
51141507002,660502-0130-6001
51141507000,660502-0122-0401
51141508001,660401-0130-3501
51141508000,660401-0122-0401
51141502002,660301-0222-6401
51141502000,660301-0130-2713
51141578001,660204-0222-6401
51141578002,660204-0130-6001
51141578000,660204-0122-6401
51141522004,660203-0322-6401
51141522001,660203-0222-6401
51141522002,660203-0130-6001
51141522000,660203-0122-6410
51141513002,660201-0322-6409
51141513001,660201-0230-6001
51141513004,660201-0222-6401
51141513003,660201-0122-6409
51141513000,660201-0122-6401
51141514000,660112-0222-0401
51141514001,660112-0122-0401
51141528004,660111-0422-6410
51141528003,660111-0322-0401
51141528001,660111-0222-6410
51141528002,660111-0122-6410
51141534002,660109-0322-0401
51141534000,660109-0222-0401
51141534001,660109-0122-0401
51141563009,660108-0622-6410
51141530000,660108-0522-6410
51141530011,660108-0422-6410
51141530004,660108-0322-6410
51141530010,660108-0222-6410
51141530009,660108-0122-6410
51141518004,660107-0422-6401
51141518001,660107-0222-6410
51141518002,660107-0130-6201
51141518003,660107-0130-2713
51141504001,660106-0422-6401
51141504005,660106-0422-3501
51141504002,660106-0322-6401
51141504003,660106-0222-6401
51141504004,660106-0122-6402
51141563004,660105-0422-6410
51141563003,660105-0322-6410
51141563005,660105-0230-5401
51141563002,660105-0222-6410
51141563008,660105-0130-2701
51141563001,660105-0122-6410
51141517002,660104-0322-0401
51141517001,660104-0222-0401
51141517000,660104-0122-0401
51371601004,651401-0222-6410
51371601003,651401-0130-2713
51371601001,651401-0122-0401
51294906000,651301-0122-6404
51384603000,651201-0101-5406
51371803001,651101-0130-2713
51371803000,651101-0130-2713
51371601005,651004-0122-6410
51142001000,651003-0122-6401
51142001013,651003-0122-6401
51372108008,651001-0122-6401
51404030000,650701-0122-6401
51142402003,650503-0422-6401
51142402000,650503-0322-6401
51142402001,650503-0222-5601
51142402004,650503-0130-2713
51142412000,650501-0122-6410
51372108002,650404-0722-0401
51372108003,650404-0522-6409
51372108006,650404-0322-6409
51372108007,650404-0322-0401
51372108001,650404-0130-2713
51372108004,650404-0122-6409
51372108005,650404-0122-0401
51142206006,650403-0422-6409
51142206001,650403-0322-6409
51142206003,650403-0230-2713
51142206004,650403-0222-6409
51142206012,650403-0222-6401
51142206009,650403-0146-2713
51142206002,650403-0130-3501
51142206008,650403-0122-6401
51372107014,650402-0622-6409
51372107013,650402-0522-6409
51372107005,650402-0422-6409
51372107004,650402-0322-6401
51372107011,650402-0322-6401
51372107012,650402-0222-6409
51372107000,650402-0222-6401
51372107009,650402-0130-5401
51372107010,650402-0122-6401
51142001001,650305-0522-6401
51142001011,650305-0522-5901
51142001002,650305-0430-5401
51142001005,650305-0322-5901
51142001006,650305-0230-5406
51142001004,650305-0222-5901
51142001003,650305-0130-6201
51142001023,650305-0122-5901
51372003002,650201-0345-4301
51372003001,650201-0245-4301
51372003000,650201-0145-4301
51142921000,640501-0122-4801
51142941000,640405-0201-2704
51142941002,640405-0130-2713
51142941001,640405-0101-2704
51271702000,640404-9999-5401
51272204001,640403-0230-2713
51272204000,640403-0130-2713
51142933000,640402-0130-2713
51142942001,640303-0134-5401
51272406000,640302-9999-3501
51142927000,640301-0101-3501
51273006001,640211-0101-2713
51273006000,640210-0101-2701
51142908020,640209-0101-0901
51142908012,640208-0230-2713
51142908003,640208-0201-2713
51142908011,640208-0101-2713
51171631016,640206-9999-0601
51142908007,640206-0401-2713
51142908027,640206-0401-2713
51142908018,640206-0401-2713
51142908010,640206-0401-0601
51142908002,640206-0401-0601
51142908006,640206-0301-2713
51142908017,640206-0301-2713
51142908028,640206-0301-2701
51142908016,640206-0201-4301
51142908008,640206-0201-4001
51142908009,640206-0101-5601
51142910000,640205-0148-2713
51142905001,640202-0201-2713
51142905000,640202-0201-2713
51142905003,640202-0101-2713
51273010000,640104-0130-2713
51142232000,640103-0222-2706
51273009002,640103-0146-2706
51273009001,640103-0122-2706
51372305005,640102-0445-4301
51372305001,640102-0345-4301
51372305000,640102-0245-4301
51372305009,640102-0241-6416
51372305013,640102-0146-2713
51372305003,640102-0146-2713
51372305002,640102-0146-2713
51372305007,640102-0145-4301
51372305006,640102-0141-6416
51372305014,640101-0146-2713
51140000000,630104-0130-2713
51140000002,630102-0130-2713
51202000000,630101-0222-2305
51182428001,620202-0230-2713
51182428000,620202-0130-2713
51182428004,620201-0330-2713
51182428003,620201-0230-2713
51182428002,620201-0130-2713
51182415001,620105-0230-2713
51182415002,620105-0130-5401
51182416000,620104-0130-2713
51182423001,620103-0122-6410
51182406001,620101-0122-6401
51211502000,610201-0141-6401
51192008000,610102-0222-6410
51211501001,610101-0222-6401
51211501000,610101-0122-6401
51151911000,600701-0130-2713
51151903002,600501-0322-0401
51151903001,600501-0222-0401
51151903000,600501-0122-4801
51152005003,600301-0109-2706
51152014000,600301-0109-2706
51151917001,600203-0222-6401
51151917000,600203-0122-6401
51151901006,600201-0430-2713
51151901004,600201-0222-6401
51151901003,600201-0130-3501
51151901001,600201-0122-6401
51152004000,600105-0130-2706
51152003001,600104-0130-2713
51152009000,600103-0130-2713
51152006001,600102-0130-2713
51152006002,600102-0122-2713
51152001000,600101-0130-5401
51152001002,600101-0130-2713
51212034000,590201-0101-0901
51211608000,580701-0122-0401
51142012000,580601-0222-6410
51142012001,580601-0122-0401
51142140002,580502-0222-6401
51142140001,580502-0122-6401
51142128800,580501-0122-6410
51142128801,580501-0122-2706
51142148001,580403-0130-2713
51142149000,580401-0122-0401
51142138002,580203-0230-2713
51142138000,580203-0201-5406
51142138003,580203-0130-2713
51142138001,580203-0101-5406
51142104001,580201-0722-4301
51142104012,580201-0522-6401
51142104005,580201-0422-6410
51142104004,580201-0422-5901
51142104007,580201-0322-5901
51142104003,580201-0130-2713
51142104013,580201-0122-6416
51142104010,580201-0122-6410
51142104006,580201-0122-6401
51142104008,580201-0122-5901
51142104000,580201-0101-0601
51201504003,570502-0422-0401
51201504007,570502-0322-0407
51201504012,570502-0222-0407
51201504001,570502-0222-0401
51201504006,570502-0130-2713
51201504011,570502-0122-0407
51201504002,570502-0122-0401
51201502003,570501-0330-5401
51201502001,570501-0322-0401
51201502004,570501-0230-2714
51201502005,570501-0222-0401
51201502002,570501-0122-0401
51201502000,570501-0101-1601
51201811000,570406-0222-6401
51201811002,570406-0122-6401
51111599000,570405-0422-0401
51201560000,570404-0222-0401
51201560002,570404-0122-6401
51201549001,570403-0622-0401
51201899001,570403-0322-0401
51201899000,570403-0222-0401
51241243001,570402-0222-0401
51241243000,570402-0122-0401
51201501000,570401-0122-6401
51201501003,570401-0122-2701
51111799001,570310-0230-2713
51111799002,570310-0230-2713
51111799005,570310-0130-5401
51201598004,570309-0230-2713
51201598001,570309-0222-2701
51201598002,570309-0130-2714
51201598000,570309-0122-2701
51111799003,570307-0130-2713
51111717012,570306-0122-2713
51201598015,570305-0130-2713
51182428005,570304-0130-2713
51111713004,570303-0130-2713
51201508000,570302-0122-2706
51201523000,570301-0130-2713
51111720001,570205-0122-2706
51142199001,570203-0222-2701
51142199000,570203-0122-2713
51111713005,570202-0122-2713
51142145000,570201-0130-2713
51142145001,570201-0130-2713
51111717008,570122-0222-2706
51112009007,570121-0122-6410
51201567000,570120-0122-6410
51201515004,570119-0141-6401
51201515001,570119-0122-6404
51201598008,570116-0130-2714
51201599000,570115-0130-5402
51201503003,570114-0322-6401
51201503004,570114-0322-6401
51201503001,570114-0222-6410
